URL,Owner,Repo,Severity,Type,Score,Cyrillic,Entropy Files,YARA Matches,Status
https://github.com/vertyxan5winter/NightfallDash,vertyxan5winter,NightfallDash,HIGH,YARA_MATCH,100,False,0,5,PENDING
https://github.com/twittyoverbang/EtherealBeam,twittyoverbang,EtherealBeam,HIGH,YARA_MATCH,100,False,0,4,PENDING
https://github.com/cafriern21/TarkovCipher,cafriern21,TarkovCipher,HIGH,YARA_MATCH,77,False,0,3,PENDING
https://github.com/SimmmBo/EscapefromTarkov_CollapseCheat,SimmmBo,EscapefromTarkov_CollapseCheat,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/Under-eng/EFT-God-Panel,Under-eng,EFT-God-Panel,HIGH,YARA_MATCH,23,False,0,1,PENDING
https://github.com/LabX1/RunPETest,LabX1,RunPETest,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/odasbeautiful927/tarkovx,odasbeautiful927,tarkovx,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/malanradwent73/tarkov-aids,malanradwent73,tarkov-aids,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/kael90mere/EFT-Toolkit,kael90mere,EFT-Toolkit,HIGH,YARA_MATCH,100,False,0,2,PENDING
https://github.com/semingkeep940/v7-TarkovHack-Elite,semingkeep940,v7-TarkovHack-Elite,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/jarvis44fury/tarkovx,jarvis44fury,tarkovx,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/brisbumagorez93/TarkovExtra,brisbumagorez93,TarkovExtra,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/darkknigt/efchmy,darkknigt,efchmy,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/bethovenmaxwell/EclipseTactics,bethovenmaxwell,EclipseTactics,HIGH,YARA_MATCH,69,False,0,2,PENDING
https://github.com/tbglorax/gta5-enhanced-unlock-suite,tbglorax,gta5-enhanced-unlock-suite,HIGH,YARA_MATCH,46,False,0,1,PENDING
https://github.com/Icayjr/gta5-enhanced-advantage-tools,Icayjr,gta5-enhanced-advantage-tools,HIGH,YARA_MATCH,54,False,0,1,PENDING
https://github.com/GXA7YHX/FiveM-2025-GTA-V,GXA7YHX,FiveM-2025-GTA-V,HIGH,YARA_MATCH,36,False,0,1,PENDING
https://github.com/amnesia-mod/amnesia,amnesia-mod,amnesia,HIGH,YARA_MATCH,70,False,0,1,PENDING
